date,country,cases,deaths,popData2019,continentExp
2020-02-15,Afghanistan,0.0,0.0,38041757.0,Asia
2020-02-15,Albania,0.0,0.0,2862427.0,Europe
2020-02-15,Algeria,0.0,0.0,43053054.0,Africa
2020-02-15,Andorra,0.0,0.0,76177.0,Europe
2020-02-15,Angola,0.0,0.0,31825299.0,Africa
2020-02-15,Anguilla,0.0,0.0,14872.0,America
2020-02-15,Antigua and Barbuda,0.0,0.0,97115.0,America
2020-02-15,Argentina,0.0,0.0,44780675.0,America
2020-02-15,Armenia,0.0,0.0,2957728.0,Europe
2020-02-15,Aruba,0.0,0.0,106310.0,America
2020-02-15,Australia,0.0,0.0,25203200.0,Oceania
2020-02-15,Austria,0.0,0.0,8858775.0,Europe
2020-02-15,Azerbaijan,0.0,0.0,10047719.0,Europe
2020-02-15,Bahamas,0.0,0.0,389486.0,America
2020-02-15,Bahrain,0.0,0.0,1641164.0,Asia
2020-02-15,Bangladesh,0.0,0.0,163046173.0,Asia
2020-02-15,Barbados,0.0,0.0,287021.0,America
2020-02-15,Belarus,0.0,0.0,9452409.0,Europe
2020-02-15,Belgium,0.0,0.0,11455519.0,Europe
2020-02-15,Belize,0.0,0.0,390351.0,America
2020-02-15,Benin,0.0,0.0,11801151.0,Africa
2020-02-15,Bermuda,0.0,0.0,62508.0,America
2020-02-15,Bhutan,0.0,0.0,763094.0,Asia
2020-02-15,Bolivia,0.0,0.0,11513102.0,America
2020-02-15,"Bonaire, Saint Eustatius and Saba",0.0,0.0,25983.0,America
2020-02-15,Bosnia and Herzegovina,0.0,0.0,3300998.0,Europe
2020-02-15,Botswana,0.0,0.0,2303703.0,Africa
2020-02-15,Brazil,0.0,0.0,211049519.0,America
2020-02-15,British Virgin Islands,0.0,0.0,30033.0,America
2020-02-15,Brunei Darussalam,0.0,0.0,433296.0,Asia
2020-02-15,Bulgaria,0.0,0.0,7000039.0,Europe
2020-02-15,Burkina Faso,0.0,0.0,20321383.0,Africa
2020-02-15,Burundi,0.0,0.0,11530577.0,Africa
2020-02-15,Cambodia,0.0,0.0,16486542.0,Asia
2020-02-15,Cameroon,0.0,0.0,25876387.0,Africa
2020-02-15,Canada,1.0,0.0,37411038.0,America
2020-02-15,Cape Verde,0.0,0.0,549936.0,Africa
2020-02-15,Cayman Islands,0.0,0.0,64948.0,America
2020-02-15,Central African Republic,0.0,0.0,4745179.0,Africa
2020-02-15,Chad,0.0,0.0,15946882.0,Africa
2020-02-15,Chile,0.0,0.0,18952035.0,America
2020-02-15,China,2538.0,143.0,1433783692.0,Asia
2020-02-15,Colombia,0.0,0.0,50339443.0,America
2020-02-15,Comoros,0.0,0.0,850891.0,Africa
2020-02-15,Congo,0.0,0.0,5380504.0,Africa
2020-02-15,Costa Rica,0.0,0.0,5047561.0,America
2020-02-15,Cote dIvoire,0.0,0.0,25716554.0,Africa
2020-02-15,Croatia,0.0,0.0,4076246.0,Europe
2020-02-15,Cuba,0.0,0.0,11333484.0,America
2020-02-15,Curaçao,0.0,0.0,163423.0,America
2020-02-15,Cyprus,0.0,0.0,875899.0,Europe
2020-02-15,Czechia,0.0,0.0,10649800.0,Europe
2020-02-15,Democratic Republic of the Congo,0.0,0.0,86790568.0,Africa
2020-02-15,Denmark,0.0,0.0,5806081.0,Europe
2020-02-15,Djibouti,0.0,0.0,973557.0,Africa
2020-02-15,Dominica,0.0,0.0,71808.0,America
2020-02-15,Dominican Republic,0.0,0.0,10738957.0,America
2020-02-15,Ecuador,0.0,0.0,17373657.0,America
2020-02-15,Egypt,1.0,0.0,100388076.0,Africa
2020-02-15,El Salvador,0.0,0.0,6453550.0,America
2020-02-15,Equatorial Guinea,0.0,0.0,1355982.0,Africa
2020-02-15,Eritrea,0.0,0.0,3497117.0,Africa
2020-02-15,Estonia,0.0,0.0,1324820.0,Europe
2020-02-15,Eswatini,0.0,0.0,1148133.0,Africa
2020-02-15,Ethiopia,0.0,0.0,112078727.0,Africa
2020-02-15,Falkland Islands,0.0,0.0,3372.0,America
2020-02-15,Faroe Islands,0.0,0.0,48677.0,Europe
2020-02-15,Fiji,0.0,0.0,889955.0,Oceania
2020-02-15,Finland,0.0,0.0,5517919.0,Europe
2020-02-15,France,0.0,1.0,67012883.0,Europe
2020-02-15,French Polynesia,0.0,0.0,279285.0,Oceania
2020-02-15,Gabon,0.0,0.0,2172578.0,Africa
2020-02-15,Gambia,0.0,0.0,2347696.0,Africa
2020-02-15,Georgia,0.0,0.0,3996762.0,Europe
2020-02-15,Germany,0.0,0.0,83019213.0,Europe
2020-02-15,Ghana,0.0,0.0,30417858.0,Africa
2020-02-15,Gibraltar,0.0,0.0,33706.0,Europe
2020-02-15,Greece,0.0,0.0,10724599.0,Europe
2020-02-15,Greenland,0.0,0.0,56660.0,America
2020-02-15,Grenada,0.0,0.0,112002.0,America
2020-02-15,Guam,0.0,0.0,167295.0,Oceania
2020-02-15,Guatemala,0.0,0.0,17581476.0,America
2020-02-15,Guernsey,0.0,0.0,64468.0,Europe
2020-02-15,Guinea,0.0,0.0,12771246.0,Africa
2020-02-15,Guinea Bissau,0.0,0.0,1920917.0,Africa
2020-02-15,Guyana,0.0,0.0,782775.0,America
2020-02-15,Haiti,0.0,0.0,11263079.0,America
2020-02-15,Holy See,0.0,0.0,815.0,Europe
2020-02-15,Honduras,0.0,0.0,9746115.0,America
2020-02-15,Hungary,0.0,0.0,9772756.0,Europe
2020-02-15,Iceland,0.0,0.0,356991.0,Europe
2020-02-15,India,0.0,0.0,1366417756.0,Asia
